character,content,scene,sound,Cmt
P,X,X,X,"Thật sự rất hay, coi 10/10 về đặt vé 12/10 đi coi tiếp lần 2"
X,P,X,X,"Phim phải gọi là cực phẩm tui mua trên galaxy play coi thôi mà đã thấy đỉnh cỡ này phải lúc phim chiếu rạp chịu khó ra rạp coi là k biết còn tuyệt vời cỡ nào nói chung phim kinh dị hàn quốc chắc phim này tui phải xếp đầu bảng luôn , phim kịch tính dã man"
X,X,X,X,Troi oil quá đỉnhhhhh mê. Hồi hộp từ đầu đến cuối
X,O,X,X,"Mình thấy phim ổn về mọi mặt, mình chưa xem phần 1 trước khi coi phần này thì mình có tìm và xem sơ nội dung khi xem thì vẫn hiểu và cuốn theo mạch phim."
P,P,X,X,"Phim hay và lôi cuống, nếu so sánh với những bom tấn siêu trộm của hollywood thì con hơi khập khiễng . nhưng phim co sự sáng tạo , sự duyên của dàn cast chính và phụ thì miễn chê. Phim hấp dẫn nhất trong năm vừa qua, ko đi theo lối mòn như Nhà Bà Nữ . kết thúc mở hóng se co tiếp phần 2😘"
N,X,X,X,Cách diễn quá cứng nhắc làm mất đi sự hấp dẫn của cốt truyện.
X,X,X,N,Giọng lồng tiếng không thể hiện được cảm xúc nhân vật.
N,O,X,X,"Phim ko quá hay cũng ko dở. Coi thấy bực vì nv Linh bị ngu thôi, ngoài ra thì khá cảm động trước tình yêu của 2 nv chính làm tui rớt nước mắt tận 2 lần 😢"
X,X,X,O,"Nhạc nền được lựa chọn khá tốt, không quá gây chú ý nhưng cũng không quá nhàm chán."
P,O,P,X,"Mình cũng đọc nhiều feedback về phim trên fb, cũng đa phần cũng thấy chê cũng nhiều nhưng mình vẫn quyết định đi coi. Mình đi 1 mình khi xem rất thương nhân vật kiểu chạm đến trái tim mình thật sự, chắc là từng trải qua chuyện tương tự nên cảm xúc chất chứa nhiều hơn. Khóc mà không đem khăn giấy 🥹"
P,X,P,X,"Phim hay combat đã tay, cứ là phim của chú Ma là siêu hay rồi, ko từ nào có thể chê được"
X,P,X,X,"Lần đầu xem 1 bộ phim mà gần giống với hoàn cảnh của chính bản thân( gia đình cũng gần giống vậy), rất là cảm động🥹🥹"
O,X,X,X,"Một số cảnh cần nhiều cảm xúc hơn từ diễn viên, nhưng tổng thể vẫn ổn."
P,P,P,X,"Bản thân em thấy Trấn Thành là một người sống thiêng về tình cảm thích hợp với những bộ phim làm về tình cảm khán giả sẽ ủng hộ, ắt hẳn sẽ thành công và hiện cũng đang thành công qua con số doanh thu hiện có. Ngoài ra Trấn Thành luôn đón nhận lời góp ý từ khán giả và trau chuốt hơn và các góc quay, kịch bản của phim điện ảnh cũng như lựa chọn gương mặt điện ảnh cho những vai diễn phù hợp với tính cách các diễn viên. Có rất nhiều câu thoại khiến người xem phải ngẫm nghĩ, đoạn kết thì lại rất đời thật. Ngoài ra còn nhiều cái cảnh ví von ẩn ý rất sâu sắc thích hợp để phân tích sâu hơn"
P,X,X,X,Anh Tú đẹp trai vãi đạn 1 tỉ điểm
X,O,P,P,"Phim hay, đã tai đã mắt, nhưng phim phù hợp với những ai đã đọc nguyên tác hay đã xem phần 1 hoặc ít ra có tìm hiểu về nội dung, như hôm nay mình đi xem mà ngồi cạnh 1 đôi, bạn nữ thì chẳng biết gì về phần 1, cứ hỏi bạn nam liên tục còn bạn nam thì toàn chém liên thiên"
P,O,P,X,"Nói chung là phim không có gì quá đặc sắc. Rất khen diễn xuất của Tấm và Cám nha, diễn rất thật. Bối cảnh đẹp, đầy đủ các yếu tố của một bộ phim cổ trang kinh dị cần. Mỗi người mỗi cảm nhận mỗi cách nhìn, mình thấy xem giải trí, không đọng lại gì sâu sắc, nói"
X,N,P,X,"Cũng được nhiều người bảo phim hay cảm xúc nhưng với mình phim cũng chỉ tạm được, nội dung phim cũng k đặt sắc tình huống khá nhanh chưa cảm nhận được nhiều nên k được nhiều cảm xúc đến phải khóc phim nội dung khá nhẹ nhàn k hồi hợp tạo tình huốn bất ngờ thích"
X,X,X,X,"nếu bạn nào cần 1 bộ phim nhẹ nhàng, healing thì mình nghĩ bộ phim này rất phù hợp đó. xem xong thấy nhớ ngoại ghê lun chòy 🥹"
P,P,P,P,"Phim chạm đến trái tim người xem. Ngay từ những giây đầu khi Fubao xuất hiện trong tuyết trắng cộng với nhạc phim đầy cảm xúc, mình đã rơi nước mắt. Phim tập trung vào 3 tháng cuối Fubao ở Hàn Quốc, công việc của những người chăm sóc. Khóc rỉ rả từ đầu đến cuối, thỉnh thoảng xen vào những cảnh của Ái, Lê, Rui, Hui. Phim khắc họa rõ hơn về cảm xúc của 2 ông Kang và Song khi còn những ngày tháng cuối cùng bên Fubao, phim cũng nói về tình cảm gia đình, tình yêu với động vật, cảm giác được chữa lành khi xem phim. Nhạc rất hay"
X,X,X,N,Các hiệu ứng âm thanh trong cảnh chiến đấu nghe rất nhạt nhòa.
X,X,P,X,Rất hayy! Xem xong về vẫn ám ảnh từng phân đoạn trong phim vì phim chân thực đến tàn nhẫn
X,X,X,X,"Phim dở lắm,coi có 3 lần chứ nhiêu :))))"
X,X,X,X,"Phim tệ kinh khủng, lần đầu tiên đi xem mà ngủ luôn á =)))"
X,N,X,X,"Phim quá dở, nội dung cứ như đang xem quảng cáo bột giặt Aba. Khuyên mọi người đừng phí tiền, đừng tin mấy cái page rác quảng cáo đểu hạ bệ phim khác để nâng phim rác này lên"
X,X,X,X,Rất ok ạk
X,N,O,X,"Theo cảm nhận của mình thực sự mà nói ngoài cảnh nóng táo bạo ra thì phim nhạt thực sự, không đạt cảm xúc cao trào, không đọng lại được gì sau khi xem . Nói chung không đủ sức thuyết phục mình"
X,X,N,X,"Các trang phục trong phim phù hợp với bối cảnh, nhưng không có gì nổi bật."
O,O,X,X,"Phim hay, phần này chủ yếu lấy sự kiện quái vật xâm lược để mà thể hiện tâm hồn của 1 con người sắp chết do ung thư. Thể hiện sự đối lập về thế giới quang trước và sau thảm hoạ. Người lí trí trở nên hoảng sợ, người sắp thì tìm được ý nghĩa cuối đời. Phần world build cũng cho ngưoif xem biết cách các nhóm đã tồn tại như thế nào. Về phần quái vật, thì biết nó đẻ trứng, trứng bị hư thì tụi nó sẽ ăn luôn, và hiện tại có 2 form quái, hy vọng p4 có thêm form mới của quái"
X,N,N,X,"Nói chung cốt truyện quá tệ, mạch phim không liên kết, nhiều cảnh rất tào lao, giống nhại kịch bản now u see me. Mấy phân cảnh hài tạm được."
X,X,X,X,"Hành động đẹp mắt, hài hước. Mấy cái đa vũ trụ hơi rối, nếu k phải fan marvel hay theo dõi X-men thì ban đầu sẽ hơi khó nuốt."
X,P,O,X,"Phim hay nha . Năm ngoái mình cũng có xem ở rạp nhưng không ấn tượng lắm, năm nay xem thấy thú vị hơn , tinh tiết khá kịch tính, nói chung ai là fan conan phải đi coi thử nha ❤️ không phí tiền đâu"
X,P,X,X,"Ôi phim chữa lành thực sự luôn mng ơi, ai nội tâm yếu như mình thì khóc ngập rạp luôn nha. Phim tuyệt vời lắm, lồng ghép cả yếu tố hài hước nữa cơ. Đặc biệt các bạn trẻ gen Z hãy tới xem phim 1 lần để có thể thấy tình cảm gia đình quan trọng tới nhường nào, để"
X,O,O,X,"Phim nội dung gần gũi, nhịp phim chậm nhẹ nhàng, nên ai thích hành động kịch tính thì nên cân nhắc trước khi xem nha"
X,X,X,X,phim hay lắm
X,X,X,X,"Tôi cho 10/10 không phải vì phim hay theo mặt hàn lâm, đánh giá chuyên gia Tôi cho 10/10 là vì phim làm tôi khóc Tôi nhớ mẹ của mình, ngày xưa tôi cũng nói s này sẽ nuôi mẹ Nhưng giờ tôi đi làm có tiền nhưng mẹ chẳng còn để tôi nuôi Tôi nhớ mẹ tôi lắm Về mặt"
X,X,X,X,"Cá nhân mình thấy phim hay hơn bản truyền hình rất nhiều , 1 trong số ít phim kinh dị Việt mà làm mình ám ảnh !! 10 điểm không có nhưng , nên xem ạ"
X,X,X,X,Phim vớ vẩn cũng chiếu rạp được
P,O,X,X,"xem để giải trí thì ok. Kịch bản không quá xuất sắc nhưng ổn, cũng hay hay đi. Hae In đẹp trai, tuyệt cà là vời, đỉnh của chóp, kinh thiên động địa."
X,X,X,N,"Một số cảnh hành động quá ồn ào, âm thanh bị chói tai."
X,P,X,X,"Nhung nói là: Phim xem hay, vui, buồn cười, 9/10đ <3"
X,X,X,O,"Các cảnh hồi hộp có âm thanh khá phù hợp, nhưng chưa đến mức xuất sắc."
X,X,O,O,"Âm thanh trong phim hài hòa với trang phục, nhưng không thật sự nổi bật."
X,X,X,N,"Một số đoạn không có âm thanh, gây cảm giác phim bị lỗi."
O,P,X,X,"Phim hay, hài, zui từ đầu phim tới cuối phim, nhưng vẫn cảm động, phim của anh Ma thì bảo chứng phòng vé ko có lấy 1 phim dở, ko có hột sạn nào để soi luôn"
X,X,X,X,Nói chung ko quá tệ ai fan marvel coi để hiểu tình tiết các phim khác
X,P,X,P,"Phim hay vãi có nhiều khúc kịch tính . Rất đáng xem, âm thanh sống động"
O,X,X,X,đừng vì cái gọi là QUAN ĐIỂM CÁ NHÂN mà suy bụng ta ra bụng người. Có xem hết phim không mà nói ông Triton bị cắm sừng? rồi Eric con nhà giáo dục mà vô phép. Văn hoá nước nào ra nước đó chứ không thì làm ơn bật phim Trấn Thành coi giùm để nhân văn kiểu QUAN
X,X,X,X,Hay tuyệt vời lun 💖💖🎉rất rcm cho các bạn tuổi teen đang phân vân trong việc lựa chọn hướng đi cho mình 💖
O,O,X,X,"Có lẽ anh nhầm thể loại phim, phim này thể loại kinh dị chuyển thể từ dị bản kinh dị Tấm Cám nên các chi tiết a cho là phi lí nhưng nó lại hợp lí trong trường hợp là phim kinh dị á. Nếu chê phim do làm kinh dị chưa đạt thì em ko ý kiến do độ kinh dị của phim tùy khán giả xem sẽ đánh giá. Em chỉ phản biện lại 1 ý kiến nhỏ chưa hợp lí trong đánh giá của anh thôi"
X,X,X,X,"Phim hay cực kì luôn á mn, đáng xem lắm luôn nheee 🫶🏻"
X,X,X,O,"Tiếng động của các cảnh quay được xử lý tốt, nhưng không có sự khác biệt so với các phim cùng thể loại."
X,N,N,X,"Trước khi đi xem thì mình được những người bạn review là phim rất hay, rất đáng xem nên có lẽ mình đã kỳ vọng khá cao. Nhưng xem xong thì mình thấy bộ phim có vẻ không được như mình kỳ vọng, nội dung khá rời rạc, tình tiết cũng không hấp dẫn lắm, phần giải mã"
N,P,X,X,"nc phim ok, kịch bản ok, k cưng mỗi diễn viên chính lúc biến hình, làm ơn chọn trai đẹp đk k 😢😢"
P,X,X,X,Nữ biên tập Joo dễ thương thế ❤️
P,P,P,X,"Quá đỉnh, quá hay. Với một đứa là fan Conan chân chính như mình thì phim lần này thực sự quá mãn nhãn. Các cảnh hành động, vụ án đều rất ổn. Đoạn gần cuối Haibara kiss Conan, mình thấy không hài lòng lắm mặc dù thương Haibara. Nhưng lúc Haibara trả lại cái kiss đó cho Ran thì cực kỳ hài lòng. Chưa bao giờ mình bỏ ra 120k đi xem phim mà lại cảm thấy đáng giá như lần này. Rạp đa số là các bậc phụ huynh cho mấy bạn trẻ c1, c2 đi xem. Mà mấy bé ý bàn luận sôi nổi lắm, rạp sôi động hẳn lên. Bình thường mình đi xem phim thì không muốn mọi người bàn bạc nhưng nếu là Conan với Doraemon và Shin thì rất thích nha. Kiểu đáng yêu ngây thơ lắm luôn ấy (1 phần cảm thấy tự hào vì siêu phẩm trong lòng tui vẫn đc truyền bá đến các lứa thế hệ sau). Hết phim mà ai trong rạp cũng bảo là ""hay thật sự"", ""rất đáng tiền luôn"", ""2024 xem tiếp""... (cả phụ huynh lẫn mấy bé học sinh). Ncl Conan ko hay, đời ko nể. 1 tỷ điểm cho Conan. Hẹn tái ngộ vào tập tới nhaaaaaa"
X,P,P,X,"Phim hay m.n nên ik xem, có yếu tố giải trí, có tình tiết cảm động, cao chào mọi thứ có đủ. Nhớ mang theo khăn giấy để lâu nước mắt, đúng là tiền nào của đó, ăn tiền của m.a đâu có dễ, có được sẻ có mất."
X,P,X,P,"Phim hay lắm, cốt truyện lôi cuốn dã man. Mạch phim diễn biến nhanh cộng với lượng thông tin dày đặc về tín ngưỡng, tâm linh trong văn hoá Hàn Quốc làm mình phải tập trung cao độ để kết bối các tình huống với nhau. Thế nhưng nội dung vẫn mạch lạc và hợp lý. Âm thanh rất hợp"
O,X,X,X,"Dàn diễn viên đảm nhận tốt vai trò của mình, nhưng không ai thực sự nổi bật."
P,O,O,P,"Phần đầu chán, đoạn cuối cảm động. Diễn xuất nhân vật Vinh ấn tượng ở các phân đoạn cuối. Âm thanh trong các cảnh cao trào tốt. Giải trí ổn nếu rảnh rỗi."
P,P,P,X,"Phim ổn nhất trong các bộ trước, khá hay và hơi buồn cho nữ chính đến cuối cùng chỉ có 1 mình, khúc mn đều bt nữ chính từng có quá khứ ra sao nên thêm 1 số khung cảnh kịch tính hồi hộp và ns ra bí mật mai vì sao bị như vậy ( theo ý kiến của mik thui nha ) phim hay mn nên xem"
X,X,X,N,"Một số cảnh hành động có âm thanh hơi mờ, không đủ tạo cảm giác căng thẳng."
X,P,X,X,mình nghĩ mọi ng nên đi xem phim này lúc đầu xem thì thấy bth nhưng càng xem nó càng cuốn vào câu chuyện nó đưa mình đến mấy cái mà không ngờ đến được luôn lúc đi xem về mình mới ngồi ngẫm lại có mấy chi tiết cũng khá hay tuỳ vào góc nhìn của mỗi người nữa
P,N,P,X,"Sau khi xem 2 phần thấy phần này hay hơn , nó kịch tính đánh đấm như là phim kinh dị sát nhân của Mỹ ấy. Ông anh Yak với trung sĩ gánh gia đình còng lưng, tuy nhiên phần cốt truyện lý do tại sao cái con quỷ này xuất hiện thì thấy chưa được rõ lắm nhưng chốt lại là phim khá là hay"
X,O,X,X,Phim rất hay và cảm động luôn mình xem cứ nghĩ về bà và gia đình suốt thôi 🥺
P,X,X,X,"Hay, Mika xinh xĩuuuuuuu. Cái đoạn Nô nắm tay Mon cũng iu lắm nha"
X,X,X,X,xem để ra phần 2 hiểu hơn
X,P,X,X,"phim hay quá trời, thiệt tình á. Bốc đầu xe lăng đi xem cơ ngơi của con =)))))))))))). Nhà mình hình gì lạ dị con =)))))). Nên đi coi nha mng đáng tiền thật sự, khóc trôi rạp coi phim là phải về nhà vs mẹ liền 👯‍♂️"
N,X,X,N,Không hiểu nhà sản xuất làm gì khi để cả âm thanh và diễn viên tệ đến thế.
O,N,X,X,"kết tệ! đạp đổ mọi thứ Gglc đã xây dựng, nêu là một bộ phim với các nhân vật mới, nó sẽ ổn. Nhưng hình tượng miss Q ko nên chịu một cái kết bất hạnh như vậy. Kết phim gây cảm giác tiêu cực, toi đã có một trải nghiệm đao khổ🥲"
X,P,X,X,"Ko kịch tính dâng trào cũng ko gay cấn hay căng não nhưng câu chuyện mang lại với mình lại thấy khá hài lòng, những khoảng lặng đáng xem , quái vật xuất hiện vừa đủ để giúp mạch phim ko nhàm chán , cái kết phù hợp 😊 bộ phim có lẽ sẽ ko dành cho fan của thể loại quái vật đơn thuần nhé ."
X,X,X,O,"Nhạc nền tuy phù hợp, nhưng không tạo được ấn tượng mạnh mẽ."
X,P,X,P,"Mình đã đọc manga của bộ này không biết bao nhiêu lần, là 1 người thích đọc truyện của Fujimoto sensei, thật sự cái màu u buồn nhưng vẫn có chút vui tươi này làm mình kiều, rưng rưng suốt. Tác phẩm để tưởng niệm những người đã mất trong vụ hoả hoạn của KyotoAnimation, nói chung đây là một bộ anime rất đáng, nhạc phim cũng rất hay (mình nghiện Light Song từ lúc phim còn chưa ra rạp), cảm giác nhạc đẩy phim lên cao trào rất hay. 1000000000/10. Hôm nay bạn cũng có thể nhìn lưng ai đó để trưởng thành"
X,P,P,X,"phim quá trời hay luôn, hài có, buồn có, khóc có, cảm động nhất là khi người Cha mở hộp quà của con trai mình. trời ơi, khúc này mih bị rưng nước mắt 🥲"
X,X,X,N,"Các cảnh lồng tiếng không hợp lý, làm giảm sự chân thật của mạch phim."
X,O,X,X,"nội dung nhẹ nhàng logic phim chậm , với mỗi người sẽ có những cảm xúc suy nghĩ riêngg"
X,N,X,P,Phim hay duy chỉ có 1 điểm yếu là ngắn quá coi không đã. Vừa mới cảm động phát khóc thì hết phim. Hụt hẫng. Nhạc phim phù hợp. Nên đọc truyện trước khi xem phim.
N,X,X,X,"Diễn viên chính diễn dở , biểu cảm cứng đơ , xấu"
X,X,X,X,"Nếu nói đúng hơn, thì đây là một bộ phim tâm lí chứ không hẳn là một bộ phim kinh dị. Nên cân nhắc trước khi đi xem, nếu bạn muốn xem kinh dị hồi hộp thì xem phim Kẻ Ăn Tạng, còn bộ phim này những ai đang lương lự hay không chịu buông bỏ điều gì đó hãy xem nó sẽ giúp ích bạn được một phần."
O,P,P,X,"Ý là phim nó hay vch ấy . Có mấy thg đúng gánh nặng của team ngu vch, má nhma hù kinh vc ai ch đi vsinh yêu cầu đi trc khi vô rạp cẩn thận đa* ra máu:())"
X,O,P,X,"Đáng xem lắm ấy. Tuy nội dung k đặc sắc, chỉ nhe 1 bộ phim tài liệu rất bình dị thôi nhg mỗi khoảnh khắc đều chạm tới cảm xúc. Cá nhân thấy thích hợp để xem 1 mình để tập trung và cảm nhận."
P,P,P,P,Xem lần thứ 2 rồi. Lần 1 xem lồng tiếng. Lần 2 xem phụ đề để nghe giọng của các chồng iu. Đón sinh nhật trong rạp cùng các chồng iu luôn. Movie 26 hay tuyệt vời. Xem 2 lần mà vẫn muốn xem tiếp.
X,X,X,X,mình xem lần thứ 2 rồi vẫn khóc lụt rạp ạ 😭 phim đáng xem ạ
N,X,X,N,"Diễn viên đã không hay, âm thanh còn phá hỏng trải nghiệm."
P,P,X,X,"nội dung phim hay, diễn viên xuất sắc. rất nên xem."
O,X,X,O,"Lồng tiếng của các nhân vật không quá đặc biệt, nhưng không gây khó chịu."
X,X,X,O,"Bài hát xuất hiện trong phim có giai điệu nhẹ nhàng, nhưng không để lại nhiều ấn tượng."
X,O,X,X,kiểu phim cũ nên phim chậm là điều dễ hiểu. Phim không quá nhiều drama nhưng vẫn làm cho người xem suy ngẫm. Cái hay của phim là tạo khoảng để người xem có thể chiêm nghiệm chứ không gây khó hiểu. Phim rất dễ hiểu là đằng khác. ai review bảo phim này tệ cũng
X,X,X,O,"Các hiệu ứng âm thanh không mới lạ, nhưng đủ để truyền tải nội dung phim."
X,X,X,X,10 điểm siu hay
P,X,X,X,Có trai đẹp nên xem nha ace
P,P,P,X,"Phim okie lắm mng ạ. Rất là logic nha, coi P1 xong qua P2 xem kiểu thấy hợp lý, kịch tính hơn nữa. Cốt truyện hay, rõ ràng mạch lạc, có yếu tố gây cười nhưng rất chân thật không hề bị hài nhảm hay gượng ép nhồi nhét gì luôn. Nói chung phim ổn, giải trí, hồi hộp, diễn viên đẹp, ma quỷ tâm linh có đủ. Đáng xem!"
P,P,P,P,"Phim rất đáng để ra rạp xem, đặc biệt nếu bạn là fan của Conan. Mạch phim hợp lý, tuy có vài tình huống hơi không tự nhiên, nhưng nếu bạn thích mối quan hệ giữa Conan và Haibara, phim này chắc chắn sẽ khiến bạn thích hơn. Các pha võ thuật của Ran cũng rất ấn tượng. Âm thanh được sử dụng rất tốt, làm nổi bật những cảnh hành động và cảm xúc, tuy nhiên đôi lúc âm thanh quá dồn dập, có thể làm mất đi sự tập trung vào diễn biến của câu chuyện."
X,P,P,P,"Nói không quá, chứ bộ phim này là bộ phim mình thấy xứng đáng nhất với những đồng tiền mình bỏ ra và chắc chắn sau khi từ quê lên lại SG mình sẽ xem lại một lần nữa cùng với mẹ. Từ cốt truyện, góc máy, âm thanh , ánh sáng đều cho mình nhiều cái cảm xúc từ khóc"
X,X,O,X,Cảnh phim tuy không quá sáng tạo nhưng đủ để tạo ấn tượng.
N,N,N,N,"Phim làm hài không tới, xem trôi tuột, có 1 đoạn Khoa rời nhà đi đang rưng rưng chưa kịp khóc đã cắt phăng chuyển sang cảnh khác với 1 câu thoại hài k thể nhạt hơn. Rất tụt cảm xúc đoạn đó, Anh Tú đẹp trai mà giọng với diễn chán quá. Kịch bản dễ đoán. Cảm thấy"
N,X,X,X,"Diễn viên phụ thiếu tự nhiên, làm hỏng cả cảnh quay."
X,X,X,N,"Những âm thanh thừa không cần thiết, làm rối loạn bối cảnh."
X,X,O,X,"Phim không như mong đợi, không có người nhện,không có đu dây, thiếu chiều sâu"
O,X,X,X,"Mặc dù dàn diễn viên làm tốt nhiệm vụ, nhưng không ai thực sự tỏa sáng trong bộ phim."
X,O,X,X,"Phim không gò ép cảm xúc người xem, chỉ kể một câu chuyện mà để người xem cảm nhận"
O,X,O,X,"Phim tông màu tối, rạp tối, diễn viên da đen làm phim khó coi từng chi tiết lắm. nói chung rất khó coi phim"
O,N,O,X,"Dưới góc độ trẻ con đi xem thì phần này vẫn hay, hề lắm :33 Nhưng dưới góc độ người lớn, đặc biệt là người theo dõi series này thì P4 đi lùi nha :D Kiểu, đến lúc hết phim rồi còn phải ủa? Chỉ xử lý vậy thôi là xong con boss à?? Hết phim rồi hả?? Kết nó cụt"
X,P,X,X,"10đ luôn, không nói nhiều, đã ra rạp thì nên xem những phim ntn mới bõ tiền vé mng uiiiii 🙈 Ai có quan tâm về mảng văn hóa, lịch sử Hàn Nhật, tâm linh, phong thủy các thứ xem rất ưngg nha. Ai ít tiếp xúc thì recommend mng xem qua các giải thích sơ bộ trên yt"
X,X,X,N,Tiếng gió và tiếng mưa được lồng ghép rất giả tạo.
P,X,X,X,"Phim hay rất đáng xem nha ạ, lớn ròi nhưng vẫm mê doremon ạ iu iu 🫶🫶"
N,N,N,X,"3 mẹ con đi xem phim về không biết nói gì. Chắc là mình không hợp mấy thể loai này, về cơ bản mình thấy phim hơi chậm, dài dòng, dễ đoán, không tự nhiên diễn giống kịch. Kiểu nó là phim văn học phản ánh chế độ cũ thui chứ không có cao trào, không đọng lại gì"
P,O,X,X,"Những thước phim hiện lên, khiến mình nhớ đến bà nội của mình. Thật sự phim khắc hoạ tâm lí của những người làm ông bà, đặc biệt là những người phải sống 1 mình dù có con cháu. Nội mình cũng giống người bà trong phim, sống 1 mình thời gian dài. Nên khi xem"
X,X,X,X,đúng là bỏ ra 100k coi phim đúng là ko uổng phí mà phim hay.
X,P,X,X,"Cuốn nha! đúng kiểu phim hiện đại, tuy k có nhiều tình tiết gay cấn nhưng rất cuốn"
X,X,X,X,"1. Góc nhìn của một người chưa đọc truyện và xem phim: Hai câu ""Tình cũ không rủ cũng đến"" và ""Tình cũ chỉ nên là những bài học cuộc sống"" mình thấy đúng vl 🙂. Tình cảm trong quá khứ có thể dễ dàng quay lại, nhưng không phải lúc nào nó cũng là điều tốt đẹp."
X,X,O,X,"Cảnh phim được sắp xếp hợp lý, giúp duy trì mạch cảm xúc."
P,X,X,X,Phim hay nhé đi gặp cậu Khảm đẹp try nữa🤣🤣🤣
X,P,X,X,Phim rất hay và ý nghĩa vừa hài hước vừa cảm động mọi người nên xem Cảm nhận khi xem xong mình cảm thấy thương ba mẹ hãy quý trọng quan tâm yêu thương ba mẹ và bên cạnh chăm sóc ba mẹ khi còn có thể
N,N,N,X,"! phim này coi như kiểu phim tự sự, tình tiết biến hoá lê thê, các cảnh đối thoại quá nhiều, dẫn đến nhàm ! ai không tin cứ đi xem coi mình nói đúng ko, phí tiền ráng chịu ! khen chê phải công tâm chứ không phải cái nào cũng khen riết đánh giá phim sai sự"
X,O,X,X,"Mình chỉ coi đúng 1 lần ở nhà và đây là lần thứ 2 xem phim này,quá cảm xúc,1 bộ phim nên được biết đến nhiều,kể về chiến tranh 1945 nó tàn khóc thế nào khi Nhật bị tàn phá nặng nề và đầu hàng (Nhật đầu hàng,Việt Nam chớp thời cơ để dành được độc lậo vào 2/9/1945)"
X,X,X,N,Tiếng la hét của nhân vật bị cường điệu quá mức.
X,X,X,O,"Tiếng động của các cảnh cháy nổ nghe rõ, nhưng không quá chân thực."
X,X,X,X,Cảm xúc 😢
N,N,X,X,"Rượu cốt chanh =)) diễn viên nhạt nhòa nội dung cũng nhạt nốt, thấy xàm xàm"
X,N,X,X,"phim quá dài dòng, lan man, dễ đoán"
X,O,P,O,"Review phim Lật mặt 7 “Một điều ước” của anh Lý Hải chắc chỉ chấm 7/10 thui vì không hợp gu của mình lắm :))) thoại nhiều lúc hơi sến Điểm cộng là cảm xúc, có đoạn cố để k rơi lệ sợ ng khác thấy 😄😄😄, quảng bá được nhiều cảnh đẹp du lịch của Việt Nam đến. Nhạc thì tạm"
O,P,X,X,"Phim hay xuất sắc Thực tế Thoại hay, chưa đến khúc cảm xúc mà có những câu thoại sâu sắc thôi cũng đủ làm sướt mướt rồi Chắc cũng sẽ có người từng trãi qua ít nhất 1 trong nhiều hoàn cảnh trong phim ( bame cờ bạc/bame bảo bọc/ môn đăng hộ đối/mẹ đơn thân/kì thị nghề nghiệp,..) Xem phim hqua xong về cảm xúc vẫn còn dư âm đến giờ luôn"
X,X,O,P,"Quay đẹp, nhạc ổn"
X,X,X,X,hay k có điểm gì để chê
P,O,X,P,"Nói chung là kịch bản ko có gì khó đoán n mà vẫn rất bánh cuốn Vai của chú ma dong seok ngoái đánh đấm giỏi ra thì đc cái vô tree. Phần sub ko những truyền tải hết mà còn tăng thêm phần vô tree cho chú, chắc đội này toàn 2k Cái chú vai phản diện máu siêu ngầu. Âm thanh sống động"
P,P,X,N,"Mình thấy bộ phim không quá xuất sắc nhưng vẫn rất hay. Vai diễn của Lee Dohyun không tệ như mọi người nói, dù anh chỉ đóng vai phụ, nhưng đã hoàn thành tốt vai trò của mình. Một vài đoạn đầu có phần hơi chậm, nhưng nếu kiên nhẫn thì phần cao trào sau đó sẽ bù lại. Mình đã đi xem lại hai lần rồi. Phim ổn, tuy nhiên, chất lượng âm thanh tại rạp hơi yếu, làm mất đi một chút trải nghiệm."
X,P,X,X,"Cốt truyện hay lắm mn ơi, đáng để xem. Này là săn quỷ luôn rồi kkk"
X,X,X,X,Xuất sắc 😍
X,X,O,X,Đọc bình luận của một số bạn trên TIK TOK thì thấy có một số bạn thì nói phim không được hay cho lắm. Nói thiệt là phim hay không hay dở là từng cảm nhận của mỗi người. Dù đã biết được một chút phân cảnh rồi nhưng mà khi ra ngoài rạp xem thì không cầm được
X,X,X,X,Hay nha đáng đồng tiền :>
X,X,X,X,"Mình vừa đi xem về, phim hay lắm mọi người ạ. Trẻ con hay người lớn xem đều rất ổn. Vote 100 điểm luôn."
X,X,X,X,Hay! Mà ngồi có mình có đơn quá ạaa
P,X,X,X,"Hay nha, khá là mãn nhãn, lâu rồi mới ưng 1 phim. Các a đã có tuổi rồi nhưng vẫn siêu ngầu, ngày xưa đã xem rất nhiều phim của các a rồi nên thấy dàn diễn viên là mua vé luôn. Nchung phim hongkong vẫn cứ là đỉnh 🤣 Chủ yếu vẫn là đánh nhau và tình anh em là"
P,X,X,X,Ai mê Lee Dong-wook thì hk thể bỏ qua bộ phim nài nhé
X,X,X,O,"Tiếng động trong phim khá tự nhiên, nhưng không tạo được cảm giác đặc biệt."
X,X,X,X,"So với các phim siêu anh hùng gần đây mình thấy phim này ổn, đáng xem, mình chưa coi phần 1, mà xem phần 2 cũng hiểu chứ ko bị lấn cấn gì. Có after credit nha. Nay coi suất 16h có mỗi 2 vc, bao rạp luôn!"
X,X,X,X,"Cảm thây sơ sài, thông điệp cũng nhạt, k hài k ý nghĩa nhiều, nội dung cũng …"
P,P,X,X,"Tuỳ cá tính mỗi người nhưng theo mình phim hay , vì là truyện cổ tích trích và làm lại nên đa số phần mình đã biết nhưng phim VN như thế này đã quá hay"
X,X,X,X,"tình bể bình, đang tính sống độc thân mà coi phim này mún có bồ liền"
